lambda,size_counts
0.873,"{817559.0: 1.0, 1.0: 155566.0, 4.0: 1897.0, 2.0: 6030.0, 6.0: 61.0, 3.0: 1155.0, 5.0: 147.0, 9.0: 188.0, 20.0: 1.0, 7.0: 26.0, 14.0: 4.0, 8.0: 15.0, 16.0: 2.0, 15.0: 2.0, 41.0: 2.0, 34.0: 1.0, 19.0: 1.0, 12.0: 4.0, 42.0: 1.0, 43.0: 3.0, 11.0: 4.0, 24.0: 1.0, 47.0: 1.0, 13.0: 2.0, 17.0: 2.0}"
0.873,"{799451.0: 1.0, 1.0: 171282.0, 4.0: 1909.0, 2.0: 6525.0, 9.0: 169.0, 34.0: 2.0, 3.0: 1340.0, 5.0: 183.0, 8.0: 16.0, 7.0: 31.0, 10.0: 11.0, 64.0: 1.0, 15.0: 5.0, 6.0: 77.0, 22.0: 1.0, 49.0: 1.0, 94.0: 1.0, 11.0: 8.0, 14.0: 3.0, 18.0: 2.0, 171.0: 1.0, 32.0: 2.0, 21.0: 2.0, 12.0: 4.0, 28.0: 2.0, 27.0: 1.0, 17.0: 1.0, 47.0: 1.0, 39.0: 1.0, 19.0: 1.0, 16.0: 1.0, 23.0: 1.0, 35.0: 1.0, 13.0: 1.0, 29.0: 1.0, 24.0: 1.0}"
0.873,"{810289.0: 1.0, 1.0: 162004.0, 4.0: 1902.0, 2.0: 6232.0, 9.0: 170.0, 3.0: 1185.0, 5.0: 155.0, 15.0: 4.0, 7.0: 33.0, 6.0: 67.0, 8.0: 20.0, 22.0: 1.0, 14.0: 2.0, 10.0: 7.0, 13.0: 6.0, 108.0: 1.0, 11.0: 5.0, 25.0: 1.0, 37.0: 2.0, 29.0: 1.0, 32.0: 1.0, 20.0: 1.0, 21.0: 2.0, 12.0: 2.0, 36.0: 1.0, 116.0: 1.0, 18.0: 2.0, 26.0: 1.0, 61.0: 1.0, 40.0: 1.0}"
0.873,"{817408.0: 1.0, 1.0: 155646.0, 4.0: 1916.0, 2.0: 6096.0, 3.0: 1147.0, 5.0: 146.0, 9.0: 180.0, 7.0: 31.0, 10.0: 6.0, 6.0: 55.0, 8.0: 15.0, 13.0: 3.0, 16.0: 3.0, 20.0: 1.0, 17.0: 1.0, 43.0: 1.0, 36.0: 2.0, 15.0: 2.0, 46.0: 1.0, 40.0: 1.0, 11.0: 2.0, 12.0: 2.0, 47.0: 1.0, 34.0: 1.0, 44.0: 1.0, 14.0: 2.0, 18.0: 1.0}"
0.873,"{810525.0: 1.0, 1.0: 161806.0, 4.0: 1861.0, 2.0: 6282.0, 9.0: 171.0, 3.0: 1192.0, 10.0: 7.0, 7.0: 28.0, 6.0: 79.0, 8.0: 16.0, 5.0: 179.0, 14.0: 2.0, 110.0: 1.0, 12.0: 5.0, 11.0: 8.0, 15.0: 2.0, 28.0: 3.0, 36.0: 2.0, 13.0: 2.0, 17.0: 4.0, 21.0: 1.0, 19.0: 1.0, 38.0: 1.0, 23.0: 1.0, 41.0: 1.0, 20.0: 1.0, 16.0: 1.0, 39.0: 1.0}"
0.873,"{799377.0: 1.0, 1.0: 171266.0, 4.0: 1923.0, 2.0: 6450.0, 9.0: 167.0, 33.0: 2.0, 3.0: 1339.0, 5.0: 202.0, 6.0: 64.0, 8.0: 21.0, 10.0: 6.0, 21.0: 3.0, 7.0: 31.0, 64.0: 1.0, 46.0: 1.0, 90.0: 1.0, 11.0: 6.0, 12.0: 3.0, 18.0: 2.0, 30.0: 2.0, 180.0: 1.0, 17.0: 2.0, 32.0: 2.0, 13.0: 5.0, 43.0: 1.0, 14.0: 6.0, 26.0: 2.0, 28.0: 2.0, 25.0: 1.0, 47.0: 1.0, 35.0: 1.0, 15.0: 2.0, 16.0: 2.0, 39.0: 1.0, 69.0: 1.0, 24.0: 1.0}"
0.873,"{817366.0: 1.0, 1.0: 155821.0, 4.0: 1908.0, 2.0: 6048.0, 8.0: 15.0, 3.0: 1123.0, 5.0: 134.0, 9.0: 184.0, 6.0: 70.0, 10.0: 9.0, 11.0: 5.0, 7.0: 33.0, 13.0: 2.0, 43.0: 1.0, 29.0: 2.0, 12.0: 4.0, 38.0: 1.0, 47.0: 1.0, 37.0: 1.0, 21.0: 1.0, 49.0: 1.0, 46.0: 1.0, 15.0: 3.0, 16.0: 1.0}"
0.873,"{810707.0: 1.0, 1.0: 161688.0, 4.0: 1869.0, 2.0: 6234.0, 3.0: 1204.0, 9.0: 178.0, 5.0: 155.0, 7.0: 37.0, 6.0: 75.0, 13.0: 4.0, 10.0: 4.0, 8.0: 25.0, 105.0: 1.0, 12.0: 8.0, 28.0: 1.0, 35.0: 1.0, 11.0: 4.0, 33.0: 2.0, 24.0: 3.0, 18.0: 2.0, 22.0: 1.0, 15.0: 1.0, 20.0: 1.0, 27.0: 1.0, 45.0: 1.0, 14.0: 1.0, 46.0: 1.0}"
0.873,"{810331.0: 1.0, 1.0: 162212.0, 4.0: 1864.0, 2.0: 6201.0, 9.0: 177.0, 3.0: 1203.0, 5.0: 159.0, 6.0: 55.0, 16.0: 3.0, 8.0: 24.0, 14.0: 2.0, 12.0: 5.0, 7.0: 19.0, 24.0: 1.0, 11.0: 4.0, 108.0: 1.0, 23.0: 2.0, 36.0: 1.0, 15.0: 1.0, 10.0: 4.0, 32.0: 1.0, 30.0: 1.0, 22.0: 2.0, 21.0: 1.0, 35.0: 1.0, 111.0: 1.0, 18.0: 2.0, 17.0: 2.0, 38.0: 1.0, 34.0: 1.0, 19.0: 1.0, 44.0: 1.0, 20.0: 1.0}"
0.873,"{810730.0: 1.0, 1.0: 161830.0, 4.0: 1886.0, 2.0: 6227.0, 9.0: 180.0, 3.0: 1174.0, 5.0: 160.0, 6.0: 55.0, 7.0: 29.0, 12.0: 6.0, 8.0: 21.0, 10.0: 10.0, 62.0: 1.0, 11.0: 4.0, 30.0: 2.0, 29.0: 1.0, 33.0: 1.0, 32.0: 1.0, 14.0: 2.0, 22.0: 1.0, 20.0: 1.0, 13.0: 2.0, 31.0: 1.0, 25.0: 2.0, 38.0: 1.0, 47.0: 1.0, 19.0: 1.0, 16.0: 1.0, 46.0: 1.0, 24.0: 1.0}"
0.873,"{799522.0: 1.0, 1.0: 171324.0, 4.0: 1922.0, 2.0: 6392.0, 9.0: 167.0, 30.0: 3.0, 5.0: 176.0, 3.0: 1318.0, 6.0: 80.0, 8.0: 18.0, 11.0: 8.0, 10.0: 8.0, 65.0: 1.0, 7.0: 39.0, 21.0: 3.0, 88.0: 1.0, 33.0: 1.0, 17.0: 5.0, 13.0: 2.0, 14.0: 3.0, 25.0: 1.0, 38.0: 1.0, 180.0: 1.0, 32.0: 2.0, 19.0: 2.0, 16.0: 5.0, 34.0: 1.0, 27.0: 1.0, 28.0: 1.0, 12.0: 3.0, 44.0: 1.0, 18.0: 2.0, 22.0: 1.0, 45.0: 1.0, 67.0: 1.0, 24.0: 1.0}"
0.873,"{810647.0: 1.0, 1.0: 161743.0, 4.0: 1856.0, 2.0: 6289.0, 9.0: 179.0, 3.0: 1168.0, 5.0: 149.0, 6.0: 76.0, 7.0: 37.0, 22.0: 1.0, 13.0: 1.0, 8.0: 22.0, 58.0: 1.0, 10.0: 4.0, 28.0: 2.0, 31.0: 3.0, 14.0: 3.0, 29.0: 2.0, 12.0: 4.0, 33.0: 1.0, 17.0: 1.0, 11.0: 3.0, 19.0: 2.0, 40.0: 1.0, 18.0: 1.0, 30.0: 1.0, 15.0: 2.0, 44.0: 1.0, 25.0: 1.0, 73.0: 1.0, 46.0: 1.0}"
0.873,"{817372.0: 1.0, 1.0: 155732.0, 4.0: 1891.0, 2.0: 6038.0, 3.0: 1213.0, 7.0: 27.0, 5.0: 157.0, 9.0: 178.0, 6.0: 47.0, 10.0: 7.0, 8.0: 15.0, 13.0: 2.0, 11.0: 6.0, 14.0: 1.0, 12.0: 4.0, 18.0: 2.0, 60.0: 1.0, 34.0: 1.0, 37.0: 1.0, 22.0: 1.0, 21.0: 1.0, 16.0: 2.0, 59.0: 1.0, 52.0: 1.0, 15.0: 1.0, 47.0: 1.0}"
0.873,"{810455.0: 1.0, 1.0: 161574.0, 4.0: 1897.0, 2.0: 6235.0, 9.0: 176.0, 3.0: 1211.0, 5.0: 166.0, 13.0: 6.0, 7.0: 40.0, 6.0: 71.0, 27.0: 1.0, 8.0: 16.0, 142.0: 1.0, 57.0: 1.0, 40.0: 1.0, 30.0: 1.0, 15.0: 3.0, 29.0: 1.0, 19.0: 3.0, 24.0: 1.0, 22.0: 2.0, 33.0: 1.0, 31.0: 1.0, 10.0: 7.0, 12.0: 1.0, 14.0: 1.0, 11.0: 2.0, 17.0: 1.0, 81.0: 1.0, 20.0: 1.0, 23.0: 1.0, 72.0: 1.0, 16.0: 1.0, 48.0: 1.0}"
0.873,"{799771.0: 1.0, 1.0: 171231.0, 4.0: 1901.0, 2.0: 6513.0, 9.0: 172.0, 26.0: 1.0, 5.0: 171.0, 3.0: 1309.0, 8.0: 18.0, 7.0: 26.0, 6.0: 59.0, 15.0: 3.0, 44.0: 1.0, 63.0: 1.0, 17.0: 2.0, 91.0: 1.0, 40.0: 1.0, 22.0: 2.0, 10.0: 9.0, 19.0: 2.0, 35.0: 1.0, 179.0: 1.0, 27.0: 2.0, 33.0: 1.0, 14.0: 3.0, 34.0: 1.0, 30.0: 2.0, 28.0: 1.0, 20.0: 2.0, 12.0: 5.0, 24.0: 3.0, 11.0: 2.0, 18.0: 1.0, 47.0: 1.0, 42.0: 1.0, 48.0: 1.0, 29.0: 1.0}"
0.873,"{817211.0: 1.0, 1.0: 155763.0, 4.0: 1877.0, 2.0: 6065.0, 3.0: 1219.0, 5.0: 155.0, 7.0: 32.0, 6.0: 63.0, 9.0: 181.0, 8.0: 20.0, 26.0: 1.0, 17.0: 2.0, 13.0: 4.0, 16.0: 2.0, 14.0: 2.0, 10.0: 3.0, 60.0: 1.0, 33.0: 1.0, 20.0: 1.0, 21.0: 1.0, 12.0: 2.0, 57.0: 1.0, 56.0: 1.0, 18.0: 2.0, 11.0: 1.0, 45.0: 1.0}"
0.873,"{810402.0: 1.0, 1.0: 161646.0, 4.0: 1897.0, 2.0: 6245.0, 9.0: 183.0, 3.0: 1213.0, 5.0: 143.0, 8.0: 21.0, 6.0: 73.0, 27.0: 1.0, 7.0: 44.0, 28.0: 1.0, 179.0: 1.0, 26.0: 2.0, 29.0: 1.0, 31.0: 1.0, 16.0: 2.0, 19.0: 2.0, 40.0: 1.0, 10.0: 3.0, 30.0: 1.0, 12.0: 3.0, 11.0: 3.0, 13.0: 2.0, 18.0: 2.0, 84.0: 1.0, 17.0: 1.0, 24.0: 1.0, 14.0: 1.0, 15.0: 1.0, 20.0: 2.0, 69.0: 1.0, 49.0: 1.0}"
0.873,"{817224.0: 1.0, 1.0: 155710.0, 4.0: 1904.0, 2.0: 6044.0, 3.0: 1202.0, 9.0: 182.0, 5.0: 167.0, 7.0: 31.0, 8.0: 17.0, 6.0: 49.0, 22.0: 1.0, 17.0: 3.0, 11.0: 3.0, 10.0: 7.0, 26.0: 1.0, 14.0: 1.0, 13.0: 3.0, 12.0: 2.0, 61.0: 1.0, 33.0: 1.0, 19.0: 3.0, 25.0: 1.0, 58.0: 1.0, 52.0: 1.0, 15.0: 1.0, 40.0: 1.0, 16.0: 1.0}"
0.873,"{817311.0: 1.0, 1.0: 155720.0, 4.0: 1922.0, 2.0: 6037.0, 3.0: 1187.0, 5.0: 144.0, 9.0: 180.0, 11.0: 11.0, 6.0: 46.0, 7.0: 33.0, 8.0: 19.0, 10.0: 9.0, 12.0: 3.0, 14.0: 2.0, 16.0: 2.0, 13.0: 3.0, 20.0: 1.0, 61.0: 1.0, 47.0: 1.0, 35.0: 1.0, 21.0: 1.0, 81.0: 1.0, 18.0: 2.0}"
0.873,"{818110.0: 1.0, 4.0: 1896.0, 1.0: 155337.0, 2.0: 6078.0, 3.0: 1138.0, 5.0: 142.0, 7.0: 23.0, 9.0: 173.0, 6.0: 62.0, 8.0: 13.0, 19.0: 1.0, 11.0: 6.0, 10.0: 5.0, 23.0: 2.0, 13.0: 5.0, 12.0: 4.0, 14.0: 2.0, 27.0: 1.0, 39.0: 1.0, 25.0: 1.0, 24.0: 1.0, 17.0: 1.0, 41.0: 1.0}"
0.873,"{817399.0: 1.0, 1.0: 155209.0, 4.0: 1918.0, 2.0: 6046.0, 3.0: 1191.0, 5.0: 151.0, 6.0: 77.0, 9.0: 184.0, 7.0: 25.0, 14.0: 4.0, 132.0: 1.0, 27.0: 1.0, 8.0: 17.0, 15.0: 2.0, 12.0: 3.0, 10.0: 7.0, 13.0: 2.0, 44.0: 2.0, 34.0: 1.0, 29.0: 1.0, 30.0: 1.0, 94.0: 1.0, 52.0: 1.0, 18.0: 1.0, 23.0: 1.0, 17.0: 1.0, 43.0: 1.0, 11.0: 4.0, 22.0: 1.0}"
0.873,"{810043.0: 1.0, 1.0: 162191.0, 4.0: 1852.0, 2.0: 6180.0, 9.0: 176.0, 3.0: 1221.0, 6.0: 74.0, 5.0: 166.0, 7.0: 29.0, 13.0: 3.0, 17.0: 3.0, 8.0: 25.0, 23.0: 1.0, 11.0: 7.0, 10.0: 10.0, 110.0: 2.0, 21.0: 3.0, 35.0: 1.0, 14.0: 3.0, 18.0: 4.0, 27.0: 1.0, 31.0: 2.0, 59.0: 1.0, 20.0: 1.0, 12.0: 2.0, 122.0: 1.0, 22.0: 1.0, 16.0: 1.0}"
0.873,"{799756.0: 1.0, 2.0: 6613.0, 1.0: 171237.0, 4.0: 1904.0, 9.0: 174.0, 3.0: 1310.0, 6.0: 63.0, 8.0: 30.0, 7.0: 40.0, 5.0: 150.0, 16.0: 2.0, 23.0: 1.0, 12.0: 4.0, 17.0: 1.0, 94.0: 1.0, 24.0: 2.0, 11.0: 4.0, 37.0: 2.0, 14.0: 1.0, 10.0: 8.0, 18.0: 2.0, 21.0: 1.0, 13.0: 5.0, 25.0: 3.0, 49.0: 1.0, 15.0: 1.0, 47.0: 1.0, 70.0: 1.0, 19.0: 1.0, 28.0: 2.0, 42.0: 1.0, 30.0: 1.0, 22.0: 1.0}"
0.873,"{810585.0: 1.0, 1.0: 162059.0, 4.0: 1862.0, 2.0: 6206.0, 9.0: 184.0, 3.0: 1190.0, 5.0: 135.0, 7.0: 29.0, 6.0: 62.0, 8.0: 30.0, 117.0: 1.0, 10.0: 7.0, 12.0: 4.0, 20.0: 1.0, 29.0: 1.0, 11.0: 5.0, 13.0: 2.0, 15.0: 2.0, 18.0: 1.0, 72.0: 1.0, 177.0: 1.0, 25.0: 3.0, 19.0: 1.0, 24.0: 1.0}"
0.873,"{817548.0: 1.0, 1.0: 155475.0, 4.0: 1886.0, 2.0: 6013.0, 3.0: 1175.0, 6.0: 60.0, 7.0: 37.0, 5.0: 144.0, 9.0: 185.0, 8.0: 24.0, 19.0: 1.0, 15.0: 4.0, 11.0: 8.0, 35.0: 1.0, 10.0: 2.0, 20.0: 1.0, 76.0: 1.0, 12.0: 2.0, 101.0: 1.0, 16.0: 1.0, 17.0: 2.0, 14.0: 3.0, 21.0: 1.0, 54.0: 1.0, 13.0: 2.0, 26.0: 1.0, 24.0: 1.0}"
0.873,"{810482.0: 1.0, 1.0: 162107.0, 4.0: 1849.0, 2.0: 6266.0, 9.0: 186.0, 3.0: 1153.0, 7.0: 34.0, 25.0: 1.0, 6.0: 56.0, 10.0: 13.0, 5.0: 144.0, 8.0: 22.0, 11.0: 6.0, 117.0: 1.0, 12.0: 4.0, 29.0: 1.0, 18.0: 2.0, 73.0: 1.0, 23.0: 2.0, 184.0: 1.0, 13.0: 1.0, 22.0: 2.0, 19.0: 1.0, 24.0: 1.0, 26.0: 1.0}"
0.873,"{817750.0: 1.0, 1.0: 155123.0, 4.0: 1929.0, 2.0: 6036.0, 3.0: 1211.0, 6.0: 59.0, 5.0: 161.0, 9.0: 189.0, 10.0: 7.0, 20.0: 1.0, 8.0: 18.0, 7.0: 26.0, 19.0: 1.0, 46.0: 1.0, 12.0: 3.0, 22.0: 2.0, 11.0: 3.0, 15.0: 4.0, 18.0: 1.0, 61.0: 1.0, 13.0: 2.0, 38.0: 1.0, 21.0: 1.0, 14.0: 2.0}"
0.873,"{799710.0: 1.0, 2.0: 6552.0, 1.0: 171248.0, 4.0: 1938.0, 9.0: 170.0, 3.0: 1327.0, 5.0: 162.0, 6.0: 69.0, 8.0: 29.0, 7.0: 38.0, 68.0: 2.0, 13.0: 3.0, 20.0: 2.0, 12.0: 6.0, 14.0: 5.0, 17.0: 3.0, 25.0: 1.0, 39.0: 1.0, 10.0: 6.0, 33.0: 1.0, 21.0: 1.0, 24.0: 3.0, 43.0: 1.0, 16.0: 2.0, 50.0: 1.0, 11.0: 3.0, 26.0: 2.0, 42.0: 1.0, 28.0: 1.0, 15.0: 1.0}"
0.873,"{810257.0: 1.0, 1.0: 162107.0, 4.0: 1857.0, 2.0: 6227.0, 9.0: 187.0, 3.0: 1189.0, 5.0: 146.0, 7.0: 31.0, 26.0: 1.0, 6.0: 70.0, 27.0: 1.0, 8.0: 26.0, 11.0: 8.0, 118.0: 1.0, 45.0: 1.0, 10.0: 5.0, 12.0: 4.0, 15.0: 3.0, 14.0: 2.0, 30.0: 1.0, 13.0: 1.0, 17.0: 1.0, 89.0: 1.0, 70.0: 1.0, 24.0: 2.0, 79.0: 1.0, 20.0: 1.0, 25.0: 1.0, 19.0: 1.0, 22.0: 2.0}"
0.873,"{817873.0: 1.0, 1.0: 155333.0, 4.0: 1893.0, 2.0: 6021.0, 6.0: 65.0, 5.0: 152.0, 3.0: 1158.0, 9.0: 178.0, 7.0: 27.0, 8.0: 20.0, 12.0: 7.0, 22.0: 1.0, 13.0: 4.0, 11.0: 5.0, 41.0: 1.0, 63.0: 1.0, 10.0: 7.0, 19.0: 1.0, 14.0: 3.0, 17.0: 1.0, 15.0: 1.0, 20.0: 1.0, 16.0: 1.0, 54.0: 1.0, 35.0: 1.0}"
0.873,"{799318.0: 1.0, 1.0: 171388.0, 2.0: 6617.0, 4.0: 1905.0, 9.0: 174.0, 36.0: 1.0, 3.0: 1309.0, 13.0: 6.0, 5.0: 160.0, 7.0: 29.0, 15.0: 4.0, 8.0: 19.0, 6.0: 78.0, 65.0: 1.0, 23.0: 1.0, 16.0: 2.0, 11.0: 9.0, 55.0: 1.0, 100.0: 1.0, 35.0: 1.0, 14.0: 3.0, 17.0: 4.0, 163.0: 1.0, 20.0: 2.0, 27.0: 1.0, 38.0: 2.0, 12.0: 4.0, 22.0: 1.0, 10.0: 6.0, 34.0: 1.0, 21.0: 2.0, 30.0: 1.0, 39.0: 1.0, 26.0: 1.0, 24.0: 1.0}"
0.873,"{818081.0: 1.0, 1.0: 155425.0, 4.0: 1892.0, 2.0: 5902.0, 3.0: 1175.0, 5.0: 125.0, 9.0: 186.0, 6.0: 53.0, 8.0: 16.0, 11.0: 9.0, 7.0: 22.0, 26.0: 1.0, 14.0: 3.0, 41.0: 1.0, 63.0: 1.0, 12.0: 3.0, 10.0: 7.0, 13.0: 7.0, 37.0: 1.0, 27.0: 1.0, 16.0: 2.0, 59.0: 1.0, 32.0: 1.0, 43.0: 1.0}"
0.873,"{799532.0: 1.0, 2.0: 6666.0, 1.0: 171277.0, 4.0: 1925.0, 9.0: 170.0, 3.0: 1298.0, 6.0: 69.0, 5.0: 146.0, 8.0: 27.0, 65.0: 1.0, 13.0: 4.0, 26.0: 3.0, 15.0: 2.0, 7.0: 31.0, 14.0: 4.0, 18.0: 3.0, 11.0: 8.0, 162.0: 1.0, 10.0: 6.0, 23.0: 1.0, 42.0: 2.0, 25.0: 2.0, 20.0: 1.0, 12.0: 4.0, 22.0: 3.0, 17.0: 1.0, 29.0: 1.0, 50.0: 1.0, 27.0: 1.0, 41.0: 1.0, 39.0: 1.0, 19.0: 1.0}"
0.873,"{818180.0: 1.0, 1.0: 155016.0, 4.0: 1916.0, 2.0: 5925.0, 3.0: 1185.0, 11.0: 7.0, 5.0: 136.0, 6.0: 58.0, 9.0: 184.0, 8.0: 20.0, 7.0: 26.0, 119.0: 1.0, 10.0: 5.0, 26.0: 2.0, 16.0: 2.0, 27.0: 1.0, 36.0: 1.0, 33.0: 1.0, 12.0: 3.0, 13.0: 2.0, 38.0: 1.0, 28.0: 1.0, 15.0: 2.0, 56.0: 1.0, 41.0: 1.0, 14.0: 2.0}"
0.873,"{810315.0: 1.0, 1.0: 162284.0, 4.0: 1919.0, 2.0: 6143.0, 9.0: 183.0, 3.0: 1140.0, 5.0: 150.0, 6.0: 52.0, 7.0: 33.0, 26.0: 2.0, 14.0: 4.0, 37.0: 1.0, 10.0: 16.0, 8.0: 25.0, 11.0: 5.0, 22.0: 2.0, 13.0: 4.0, 15.0: 1.0, 12.0: 2.0, 19.0: 1.0, 31.0: 2.0, 18.0: 2.0, 20.0: 1.0, 23.0: 1.0, 21.0: 3.0, 79.0: 1.0, 24.0: 2.0, 17.0: 2.0}"
0.873,"{810542.0: 1.0, 1.0: 162244.0, 4.0: 1869.0, 2.0: 6209.0, 9.0: 179.0, 3.0: 1174.0, 8.0: 19.0, 7.0: 33.0, 5.0: 153.0, 6.0: 49.0, 11.0: 7.0, 23.0: 1.0, 12.0: 5.0, 26.0: 2.0, 19.0: 2.0, 14.0: 3.0, 34.0: 2.0, 13.0: 4.0, 10.0: 8.0, 15.0: 4.0, 81.0: 1.0, 25.0: 1.0, 18.0: 1.0, 20.0: 1.0, 32.0: 1.0, 17.0: 1.0}"
0.873,"{799613.0: 1.0, 2.0: 6708.0, 1.0: 171310.0, 4.0: 1890.0, 9.0: 171.0, 3.0: 1280.0, 5.0: 153.0, 8.0: 17.0, 12.0: 6.0, 64.0: 2.0, 6.0: 63.0, 26.0: 1.0, 7.0: 34.0, 16.0: 2.0, 10.0: 7.0, 105.0: 1.0, 11.0: 7.0, 34.0: 1.0, 15.0: 5.0, 17.0: 2.0, 167.0: 1.0, 23.0: 1.0, 30.0: 1.0, 37.0: 1.0, 14.0: 3.0, 28.0: 2.0, 24.0: 2.0, 13.0: 2.0, 41.0: 1.0, 22.0: 1.0, 40.0: 1.0, 20.0: 1.0}"
0.873,"{818066.0: 1.0, 1.0: 155121.0, 4.0: 1922.0, 2.0: 5939.0, 3.0: 1148.0, 6.0: 60.0, 5.0: 144.0, 9.0: 180.0, 8.0: 14.0, 121.0: 1.0, 27.0: 1.0, 13.0: 5.0, 7.0: 32.0, 10.0: 3.0, 12.0: 5.0, 21.0: 1.0, 20.0: 2.0, 32.0: 1.0, 30.0: 2.0, 87.0: 1.0, 18.0: 2.0, 17.0: 1.0, 34.0: 1.0, 16.0: 3.0, 52.0: 1.0, 11.0: 2.0, 15.0: 1.0}"
0.873,"{810136.0: 1.0, 1.0: 162316.0, 4.0: 1877.0, 2.0: 6105.0, 9.0: 187.0, 3.0: 1218.0, 5.0: 152.0, 7.0: 27.0, 6.0: 67.0, 12.0: 4.0, 21.0: 3.0, 25.0: 1.0, 114.0: 1.0, 11.0: 4.0, 10.0: 8.0, 13.0: 2.0, 32.0: 2.0, 8.0: 15.0, 16.0: 4.0, 31.0: 1.0, 30.0: 1.0, 74.0: 1.0, 17.0: 2.0, 19.0: 1.0, 15.0: 2.0, 123.0: 1.0, 119.0: 1.0, 20.0: 1.0, 14.0: 1.0}"
0.873,"{817806.0: 1.0, 1.0: 155010.0, 4.0: 1929.0, 2.0: 5958.0, 3.0: 1190.0, 5.0: 150.0, 9.0: 189.0, 7.0: 25.0, 125.0: 1.0, 6.0: 55.0, 10.0: 11.0, 28.0: 1.0, 16.0: 2.0, 11.0: 1.0, 8.0: 22.0, 14.0: 1.0, 22.0: 2.0, 19.0: 1.0, 18.0: 1.0, 32.0: 1.0, 27.0: 1.0, 88.0: 1.0, 59.0: 1.0, 29.0: 1.0, 13.0: 2.0, 15.0: 3.0, 20.0: 1.0, 40.0: 1.0, 47.0: 1.0, 12.0: 3.0}"
0.873,"{810310.0: 1.0, 1.0: 162176.0, 4.0: 1906.0, 2.0: 6159.0, 9.0: 182.0, 3.0: 1205.0, 10.0: 10.0, 7.0: 40.0, 25.0: 1.0, 6.0: 64.0, 5.0: 146.0, 31.0: 1.0, 8.0: 14.0, 43.0: 1.0, 12.0: 5.0, 13.0: 1.0, 18.0: 1.0, 15.0: 3.0, 29.0: 2.0, 11.0: 5.0, 21.0: 2.0, 19.0: 1.0, 82.0: 1.0, 20.0: 1.0, 26.0: 1.0, 76.0: 1.0, 14.0: 1.0, 23.0: 2.0, 24.0: 1.0, 16.0: 1.0}"
0.873,"{810698.0: 1.0, 1.0: 161314.0, 4.0: 1892.0, 2.0: 6325.0, 9.0: 184.0, 3.0: 1267.0, 6.0: 64.0, 5.0: 151.0, 11.0: 3.0, 33.0: 1.0, 8.0: 18.0, 10.0: 10.0, 12.0: 4.0, 7.0: 28.0, 27.0: 2.0, 177.0: 1.0, 25.0: 1.0, 22.0: 1.0, 41.0: 1.0, 19.0: 1.0, 38.0: 1.0, 13.0: 1.0, 17.0: 2.0, 21.0: 1.0, 14.0: 2.0, 16.0: 1.0, 40.0: 1.0, 72.0: 1.0, 20.0: 1.0}"
0.873,"{810076.0: 1.0, 1.0: 161935.0, 4.0: 1908.0, 2.0: 6216.0, 3.0: 1282.0, 6.0: 56.0, 9.0: 179.0, 12.0: 7.0, 5.0: 158.0, 7.0: 35.0, 26.0: 1.0, 54.0: 1.0, 16.0: 3.0, 19.0: 3.0, 11.0: 8.0, 8.0: 30.0, 25.0: 1.0, 20.0: 2.0, 15.0: 2.0, 10.0: 3.0, 13.0: 4.0, 23.0: 2.0, 14.0: 1.0, 17.0: 1.0, 154.0: 1.0, 21.0: 2.0, 22.0: 1.0, 28.0: 1.0}"
0.873,"{809821.0: 1.0, 1.0: 162010.0, 4.0: 1925.0, 3.0: 1221.0, 2.0: 6305.0, 8.0: 18.0, 20.0: 2.0, 9.0: 185.0, 6.0: 67.0, 5.0: 156.0, 86.0: 1.0, 16.0: 3.0, 7.0: 41.0, 10.0: 10.0, 18.0: 2.0, 23.0: 2.0, 19.0: 2.0, 15.0: 1.0, 14.0: 1.0, 33.0: 1.0, 54.0: 1.0, 11.0: 7.0, 12.0: 4.0, 24.0: 1.0, 13.0: 3.0, 157.0: 1.0, 17.0: 2.0, 29.0: 1.0}"
0.873,"{808016.0: 1.0, 1.0: 164049.0, 2.0: 6301.0, 4.0: 1921.0, 3.0: 1270.0, 5.0: 161.0, 9.0: 184.0, 7.0: 29.0, 13.0: 4.0, 8.0: 23.0, 15.0: 1.0, 28.0: 2.0, 6.0: 60.0, 39.0: 1.0, 16.0: 2.0, 20.0: 1.0, 58.0: 1.0, 10.0: 8.0, 69.0: 1.0, 27.0: 2.0, 11.0: 2.0, 12.0: 3.0, 41.0: 1.0, 21.0: 1.0, 19.0: 1.0, 17.0: 1.0}"
0.873,"{816275.0: 1.0, 1.0: 156736.0, 2.0: 5965.0, 4.0: 1905.0, 3.0: 1208.0, 9.0: 180.0, 8.0: 13.0, 5.0: 133.0, 11.0: 3.0, 38.0: 1.0, 7.0: 28.0, 6.0: 66.0, 12.0: 4.0, 45.0: 1.0, 13.0: 4.0, 17.0: 1.0, 10.0: 9.0, 18.0: 2.0, 30.0: 1.0, 40.0: 1.0, 29.0: 2.0, 39.0: 1.0, 28.0: 2.0, 15.0: 3.0, 25.0: 1.0, 16.0: 2.0, 14.0: 2.0, 19.0: 1.0, 56.0: 1.0, 47.0: 1.0}"
